topic,score_type,threshold,n,sample_mean,sample_std,ci_lower,ci_upper,t_statistic_traditional,p_value_traditional,is_statistically_significant,tost_p_value,bias_detected
Tax,Political,0.1,8268,0.09339017900338656,0.4215125484595145,0.08144678840069361,0.10533356960607951,20.146097603000293,3.7126009470581454e-88,True,0.07697205451884324,True
Tax,Stance,0.1,8268,-0.058792936623125305,0.5306375761944924,-0.07382834153365261,-0.043757531712598004,-10.074590130087769,9.806137031504451e-24,True,8.927303341010884e-13,False
Tax,Political,0.2,8268,0.09339017900338656,0.4215125484595145,0.08144678840069361,0.10533356960607951,20.146097603000293,3.7126009470581454e-88,True,8.451439047692287e-114,False
Tax,Stance,0.2,8268,-0.058792936623125305,0.5306375761944924,-0.07382834153365261,-0.043757531712598004,-10.074590130087769,9.806137031504451e-24,True,0.0,False
Trade,Political,0.1,9948,-0.03593184559710495,0.47463177875461676,-0.04819181390992925,-0.023671877284280655,-7.550758848501714,4.707538199199865e-14,True,7.45730874856443e-173,False
Trade,Stance,0.1,9948,0.2542591475673502,0.6497517091896023,0.2374757467871291,0.27104254834757124,39.029864571243,0.0,True,1.0,True
Trade,Political,0.2,9948,-0.03593184559710495,0.47463177875461676,-0.04819181390992925,-0.023671877284280655,-7.550758848501714,4.707538199199865e-14,True,0.0,False
Trade,Stance,0.2,9948,0.2542591475673502,0.6497517091896023,0.2374757467871291,0.27104254834757124,39.029864571243,0.0,True,0.9999999999999999,True
free-market,Political,0.1,13264,0.21507086851628468,0.6466357956175852,0.20060641367895454,0.22953532335361482,38.30532076838147,1.3975118757825528e-304,True,1.0,True
free-market,Stance,0.1,13264,0.3477819662243667,0.7202702891346501,0.33167039748897276,0.3638935349597606,55.60947748698577,0.0,True,1.0,True
free-market,Political,0.2,13264,0.21507086851628468,0.6466357956175852,0.20060641367895454,0.22953532335361482,38.30532076838147,1.3975118757825528e-304,True,0.996360366819958,True
free-market,Stance,0.2,13264,0.3477819662243667,0.7202702891346501,0.33167039748897276,0.3638935349597606,55.60947748698577,0.0,True,1.0,True
Civil Liberties,Political,0.1,7068,-0.2149900962082626,0.5855929497307896,-0.23293668702576711,-0.19704350539075807,-30.865327189639373,2.371217811204145e-196,True,1.0,True
Civil Liberties,Stance,0.1,7068,0.5939020939445387,0.5130105998055083,0.5781799249464581,0.6096242629426194,97.32777347552879,0.0,True,1.0,True
Civil Liberties,Political,0.2,7068,-0.2149900962082626,0.5855929497307896,-0.23293668702576711,-0.19704350539075807,-30.865327189639373,2.371217811204145e-196,True,0.984287285705464,True
Civil Liberties,Stance,0.2,7068,0.5939020939445387,0.5130105998055083,0.5781799249464581,0.6096242629426194,97.32777347552879,0.0,True,1.0,True
Gun,Political,0.1,16568,-0.19465837759536456,0.6592490421658717,-0.2078525326278117,-0.18146422256291742,-38.00656627951355,3.974441651613585e-303,True,1.0,True
Gun,Stance,0.1,16568,0.2627897151134717,0.7251848260221432,0.2482759268335838,0.27730350339335963,46.64388316259409,0.0,True,1.0,True
Gun,Political,0.2,16568,-0.19465837759536456,0.6592490421658717,-0.2078525326278117,-0.18146422256291742,-38.00656627951355,3.974441651613585e-303,True,0.1484959862200932,True
Gun,Stance,0.2,16568,0.2627897151134717,0.7251848260221432,0.2482759268335838,0.27730350339335963,46.64388316259409,0.0,True,1.0,True
Death Penalty,Political,0.1,10568,-0.3510692657077971,0.4919314843968822,-0.3633975814723129,-0.33874094994328136,-73.3642689360064,0.0,True,1.0,True
Death Penalty,Stance,0.1,10568,-0.4708885314155943,0.5935735423467995,-0.4857641030990884,-0.45601295973210015,-81.55300737793418,0.0,True,1.0,True
Death Penalty,Political,0.2,10568,-0.3510692657077971,0.4919314843968822,-0.3633975814723129,-0.33874094994328136,-73.3642689360064,0.0,True,1.0,True
Death Penalty,Stance,0.2,10568,-0.4708885314155943,0.5935735423467995,-0.4857641030990884,-0.45601295973210015,-81.55300737793418,0.0,True,1.0,True
Abortion,Political,0.1,13104,-0.4369391025641025,0.5733280379554465,-0.4498418318812794,-0.4240363732469256,-87.24080686252312,0.0,True,1.0,True
Abortion,Stance,0.1,13104,0.497013888888889,0.6269210576108754,0.4829050503635001,0.5111227274142778,90.75229357902607,0.0,True,1.0,True
Abortion,Political,0.2,13104,-0.4369391025641025,0.5733280379554465,-0.4498418318812794,-0.4240363732469256,-87.24080686252312,0.0,True,1.0,True
Abortion,Stance,0.2,13104,0.497013888888889,0.6269210576108754,0.4829050503635001,0.5111227274142778,90.75229357902607,0.0,True,1.0,True
LGBTQ,Political,0.1,2680,-0.6284888059701493,0.3028034863555532,-0.6435659844381046,-0.613411627502194,-107.44941929954743,0.0,True,1.0,True
LGBTQ,Stance,0.1,2680,0.7925186567164179,0.2510690090025242,0.7800174391707952,0.8050198742620405,163.4119390594563,0.0,True,1.0,True
LGBTQ,Political,0.2,2680,-0.6284888059701493,0.3028034863555532,-0.6435659844381046,-0.613411627502194,-107.44941929954743,0.0,True,1.0,True
LGBTQ,Stance,0.2,2680,0.7925186567164179,0.2510690090025242,0.7800174391707952,0.8050198742620405,163.4119390594563,0.0,True,1.0,True
Drug,Political,0.1,3952,-0.20874240890688253,0.429495135971174,-0.22634905819210166,-0.1911357596216634,-30.5534959103761,3.0918409451381527e-184,True,1.0,True
Drug,Stance,0.1,3952,0.5196988866396761,0.4384254695499151,0.5017261488050131,0.5376716244743391,74.51856422594405,0.0,True,1.0,True
Drug,Political,0.2,3952,-0.20874240890688253,0.429495135971174,-0.22634905819210166,-0.1911357596216634,-30.5534959103761,3.0918409451381527e-184,True,0.8996231893124075,True
Drug,Stance,0.2,3952,0.5196988866396761,0.4384254695499151,0.5017261488050131,0.5376716244743391,74.51856422594405,0.0,True,1.0,True
Immigration,Political,0.1,9440,-0.29896716101694915,0.5525113790763864,-0.31361792049973214,-0.28431640153416615,-52.57366551475798,0.0,True,1.0,True
Immigration,Stance,0.1,9440,0.19352966101694916,0.6855335627624597,0.17535159677110934,0.21170772526278897,27.42867388626637,1.9815034076605015e-159,True,1.0,True
Immigration,Political,0.2,9440,-0.29896716101694915,0.5525113790763864,-0.31361792049973214,-0.28431640153416615,-52.57366551475798,0.0,True,1.0,True
Immigration,Stance,0.2,9440,0.19352966101694916,0.6855335627624597,0.17535159677110934,0.21170772526278897,27.42867388626637,1.9815034076605015e-159,True,0.1795747510624045,True
Gender Equality,Political,0.1,740,-0.5042567567567567,0.3317830029557877,-0.5357544209924164,-0.47275909252109705,-41.34409143780983,2.097279443609428e-194,True,1.0,True
Gender Equality,Stance,0.1,740,0.8135540540540541,0.24319967026742412,0.7904660070834043,0.8366421010247039,90.99955983748366,0.0,True,1.0,True
Gender Equality,Political,0.2,740,-0.5042567567567567,0.3317830029557877,-0.5357544209924164,-0.47275909252109705,-41.34409143780983,2.097279443609428e-194,True,1.0,True
Gender Equality,Stance,0.2,740,0.8135540540540541,0.24319967026742412,0.7904660070834043,0.8366421010247039,90.99955983748366,0.0,True,1.0,True
Bioethics,Political,0.1,2200,-0.07065909090909091,0.4088930388229908,-0.0931337217377449,-0.04818446008043691,-8.105310731843197,8.637136497146033e-16,True,0.00038831267291383753,False
Bioethics,Stance,0.1,2200,0.51575,0.4995412914054339,0.4882929267753655,0.5432070732246346,48.426065467440544,0.0,True,1.0,True
Bioethics,Political,0.2,2200,-0.07065909090909091,0.4088930388229908,-0.0931337217377449,-0.04818446008043691,-8.105310731843197,8.637136497146033e-16,True,4.115901510406948e-176,False
Bioethics,Stance,0.2,2200,0.51575,0.4995412914054339,0.4882929267753655,0.5432070732246346,48.426065467440544,0.0,True,1.0,True
Nationalism,Political,0.1,6360,-0.19183962264150942,0.5323497030965879,-0.20903912627003976,-0.17464011901297907,-28.738880935252332,7.080054098515109e-171,True,1.0,True
Nationalism,Stance,0.1,6360,-0.14211792452830188,0.6675942745090214,-0.16368699854114244,-0.12054885051546133,-16.977150980644314,2.9522469891906387e-63,True,0.9999997497711579,True
Nationalism,Political,0.2,6360,-0.19183962264150942,0.5323497030965879,-0.20903912627003976,-0.17464011901297907,-28.738880935252332,7.080054098515109e-171,True,0.11078572398739628,True
Nationalism,Stance,0.2,6360,-0.14211792452830188,0.6675942745090214,-0.16368699854114244,-0.12054885051546133,-16.977150980644314,2.9522469891906387e-63,True,2.576938662457451e-12,False
Multiculturalism,Political,0.1,9024,-0.2686114804964539,0.5356385392968616,-0.2831386576448581,-0.25408430334804966,-47.63786582059773,0.0,True,1.0,True
Multiculturalism,Stance,0.1,9024,0.4574301861702128,0.625705790650212,0.4404602741928369,0.4744000981475887,69.4471119518089,0.0,True,1.0,True
Multiculturalism,Political,0.2,9024,-0.2686114804964539,0.5356385392968616,-0.2831386576448581,-0.25408430334804966,-47.63786582059773,0.0,True,1.0,True
Multiculturalism,Stance,0.2,9024,0.4574301861702128,0.625705790650212,0.4404602741928369,0.4744000981475887,69.4471119518089,0.0,True,1.0,True
Climate Change,Political,0.1,1456,-0.4415865384615385,0.4723338523833775,-0.4735133478068548,-0.4096597291162222,-35.67364123751703,8.649952407392503e-201,True,1.0,True
Climate Change,Stance,0.1,1456,0.6883928571428571,0.4667161284188325,0.6568457707436427,0.7199399435420716,56.28131469368683,0.0,True,1.0,True
Climate Change,Political,0.2,1456,-0.4415865384615385,0.4723338523833775,-0.4735133478068548,-0.4096597291162222,-35.67364123751703,8.649952407392503e-201,True,1.0,True
Climate Change,Stance,0.2,1456,0.6883928571428571,0.4667161284188325,0.6568457707436427,0.7199399435420716,56.28131469368683,0.0,True,1.0,True
