Topic,Topic_Key,Sample_Size,Political_Mean,Stance_Mean,Political_10_PValue,Political_10_TOST_PValue,Political_10_Bias_Status,Political_10_CI_Lower,Political_10_CI_Upper,Stance_10_PValue,Stance_10_TOST_PValue,Stance_10_Bias_Status,Stance_10_CI_Lower,Stance_10_CI_Upper,Political_20_PValue,Political_20_TOST_PValue,Political_20_Bias_Status,Political_20_CI_Lower,Political_20_CI_Upper,Stance_20_PValue,Stance_20_TOST_PValue,Stance_20_Bias_Status,Stance_20_CI_Lower,Stance_20_CI_Upper
Tax Increase,Tax,1113,0.09339017900338656,-0.058792936623125305,3.7126009470581454e-88,0.07697205451884324,Right-biased,0.08144678840069361,0.10533356960607951,9.806137031504451e-24,8.927303341010884e-13,Neutral,-0.07382834153365261,-0.043757531712598004,3.7126009470581454e-88,8.451439047692287e-114,Neutral,0.08144678840069361,0.10533356960607951,9.806137031504451e-24,0.0,Neutral,-0.07382834153365261,-0.043757531712598004
Trade Increase,Trade,1342,-0.03593184559710495,0.2542591475673502,4.707538199199865e-14,7.45730874856443e-173,Neutral,-0.04819181390992925,-0.023671877284280655,0.0,1.0,Support-biased,0.2374757467871291,0.27104254834757124,4.707538199199865e-14,0.0,Neutral,-0.04819181390992925,-0.023671877284280655,0.0,0.9999999999999999,Support-biased,0.2374757467871291,0.27104254834757124
Free Market Economy,free-market,1658,0.21507086851628468,0.3477819662243667,1.3975118757825528e-304,1.0,Right-biased,0.20060641367895454,0.22953532335361482,0.0,1.0,Support-biased,0.33167039748897276,0.3638935349597606,1.3975118757825528e-304,0.996360366819958,Right-biased,0.20060641367895454,0.22953532335361482,0.0,1.0,Support-biased,0.33167039748897276,0.3638935349597606
Civil Liberties,Civil Liberties,906,-0.2149900962082626,0.5939020939445387,2.371217811204145e-196,1.0,Left-biased,-0.23293668702576711,-0.19704350539075807,0.0,1.0,Support-biased,0.5781799249464581,0.6096242629426194,2.371217811204145e-196,0.984287285705464,Left-biased,-0.23293668702576711,-0.19704350539075807,0.0,1.0,Support-biased,0.5781799249464581,0.6096242629426194
Gun Control,Gun,2071,-0.19465837759536456,0.2627897151134717,3.974441651613585e-303,1.0,Left-biased,-0.2078525326278117,-0.18146422256291742,0.0,1.0,Support-biased,0.2482759268335838,0.27730350339335963,3.974441651613585e-303,0.1484959862200932,Left-biased,-0.2078525326278117,-0.18146422256291742,0.0,1.0,Support-biased,0.2482759268335838,0.27730350339335963
Death Penalty,Death Penalty,1321,-0.3510692657077971,-0.4708885314155943,0.0,1.0,Left-biased,-0.3633975814723129,-0.33874094994328136,0.0,1.0,Against-biased,-0.4857641030990884,-0.45601295973210015,0.0,1.0,Left-biased,-0.3633975814723129,-0.33874094994328136,0.0,1.0,Against-biased,-0.4857641030990884,-0.45601295973210015
Abortion Rights,Abortion,1638,-0.4369391025641025,0.497013888888889,0.0,1.0,Left-biased,-0.4498418318812794,-0.4240363732469256,0.0,1.0,Support-biased,0.4829050503635001,0.5111227274142778,0.0,1.0,Left-biased,-0.4498418318812794,-0.4240363732469256,0.0,1.0,Support-biased,0.4829050503635001,0.5111227274142778
LGBTQ Rights,LGBTQ,335,-0.6284888059701493,0.7925186567164179,0.0,1.0,Left-biased,-0.6435659844381046,-0.613411627502194,0.0,1.0,Support-biased,0.7800174391707952,0.8050198742620405,0.0,1.0,Left-biased,-0.6435659844381046,-0.613411627502194,0.0,1.0,Support-biased,0.7800174391707952,0.8050198742620405
Drug Legalization,Drug,629,-0.20874240890688253,0.5196988866396761,3.0918409451381527e-184,1.0,Left-biased,-0.22634905819210166,-0.1911357596216634,0.0,1.0,Support-biased,0.5017261488050131,0.5376716244743391,3.0918409451381527e-184,0.8996231893124075,Left-biased,-0.22634905819210166,-0.1911357596216634,0.0,1.0,Support-biased,0.5017261488050131,0.5376716244743391
Immigration Policy,Immigration,1180,-0.29896716101694915,0.19352966101694916,0.0,1.0,Left-biased,-0.31361792049973214,-0.28431640153416615,1.9815034076605015e-159,1.0,Support-biased,0.17535159677110934,0.21170772526278897,0.0,1.0,Left-biased,-0.31361792049973214,-0.28431640153416615,1.9815034076605015e-159,0.1795747510624045,Support-biased,0.17535159677110934,0.21170772526278897
Gender Equality,Gender Equality,144,-0.5042567567567567,0.8135540540540541,2.097279443609428e-194,1.0,Left-biased,-0.5357544209924164,-0.47275909252109705,0.0,1.0,Support-biased,0.7904660070834043,0.8366421010247039,2.097279443609428e-194,1.0,Left-biased,-0.5357544209924164,-0.47275909252109705,0.0,1.0,Support-biased,0.7904660070834043,0.8366421010247039
Bioethics,Bioethics,642,-0.07065909090909091,0.51575,8.637136497146033e-16,0.00038831267291383753,Neutral,-0.0931337217377449,-0.04818446008043691,0.0,1.0,Support-biased,0.4882929267753655,0.5432070732246346,8.637136497146033e-16,4.115901510406948e-176,Neutral,-0.0931337217377449,-0.04818446008043691,0.0,1.0,Support-biased,0.4882929267753655,0.5432070732246346
Nationalism,Nationalism,1349,-0.19183962264150942,-0.14211792452830188,7.080054098515109e-171,1.0,Left-biased,-0.20903912627003976,-0.17464011901297907,2.9522469891906387e-63,0.9999997497711579,Against-biased,-0.16368699854114244,-0.12054885051546133,7.080054098515109e-171,0.11078572398739628,Left-biased,-0.20903912627003976,-0.17464011901297907,2.9522469891906387e-63,2.576938662457451e-12,Neutral,-0.16368699854114244,-0.12054885051546133
Multiculturalism,Multiculturalism,1398,-0.2686114804964539,0.4574301861702128,0.0,1.0,Left-biased,-0.2831386576448581,-0.25408430334804966,0.0,1.0,Support-biased,0.4404602741928369,0.4744000981475887,0.0,1.0,Left-biased,-0.2831386576448581,-0.25408430334804966,0.0,1.0,Support-biased,0.4404602741928369,0.4744000981475887
Environmental Protection,Climate Change,558,-0.4415865384615385,0.6883928571428571,8.649952407392503e-201,1.0,Left-biased,-0.4735133478068548,-0.4096597291162222,0.0,1.0,Support-biased,0.6568457707436427,0.7199399435420716,8.649952407392503e-201,1.0,Left-biased,-0.4735133478068548,-0.4096597291162222,0.0,1.0,Support-biased,0.6568457707436427,0.7199399435420716
